Nome do Eixo;Problema central do eixo;Causa Primária;Categoria Causa Primária;Causa Secundária;Categoria Secundária;Votos causa secundária;Causa Terciária;Categoria Terciária
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragmentação da concepção e práticas de alfabetização, com entendimentos distintos entre instâncias e atores da rede sobre os instrumentos normativos;Fragmentação da concepção e prática de alfabetização, com entendimentos distintos entre intâncias e atores da rede sobre instrumentos normativos;;;
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Ausência de orientações claras de atuação que definam as responsabilidades compartilhadas e específicas da SME, DREs e UEs;Fragilidade na comunicação e planejamento integrado entre SME, DREs e UEs;;;
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Rotatividade de professores que dificulta a continuidade e consolidação de práticas;Alta rotatividade de professores;;;
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragilidade na identidade e integração do trabalho do Professor Orientador de Área (POA) com o coorenador pedagógico;Fragilidades na consolidação de identidades e sobrecarga de demandas do Trio Gestor (Diretores, ADs e CPs) e POA, impactando o planejamento integrado;;;
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Distanciamento e fragilidade na comunicação entre SME, DREs e UEs;Fragilidade na comunicação e planejamento integrado entre SME, DREs e UEs;;;
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragilidade na identidade, formação especializada e permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;Fragilidade na identidade, formação especializada e ausência de incentivos para permanência de professores alfabetizadores, o que dificulta a continuidade e consolidação de práticas;;;
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragilidades na implementação da política de Educação em tempo integral nas EMEIs e ciclo de alfabetização;Fragilidades na implementação da política de Educação em tempo integral nas EMEIs e ciclo de alfabetização;;;
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Fragilidades na comunicação, integração e condições de implementação das ações e projetos de alfabetização;Falta de nitidez sobre quais as aprendizagens esperadas das crianças que iniciam o 1º ano no campo da línguagem;Falta de nitidez sobre quais as aprendizagens esperadas das crianças que iniciam o 1º ano no campo da línguagem;;;
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização);Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização);Pouca articulação pedagógica entre CEI/EMEI e EMEF;Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização);;;
Eixo 1 - Responsabilidades na Garantia do Direito a Alfabetização;Dificuldades de integração entre currículo da Educação Infantil e Ensino Fundamental e fragilidades no cumprimento das responsabilidades específicas de cada esfera  (Prefeitura, SME, DREs e unidades educacionais) na implementação de condições e ações, o que compromete a garantia ao direito à alfabetização de todas as crianças, especialmente as em situação de maior vulnerabilidade.;Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização);Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização);Pouca nitidez da concepção do papel da Educação Infantil na garantia do direito à alfabetização;Fragilidade na articulação curricular, planejamento integrado e continuidade pedagógica entre as etapas de ensino (Ed. Infantil e Ciclo de Alfabetização);;;
