Eixo;Problema central;Causa primária;Causa secundária;Causa terciária;Evidências nos grupos focais;Evidências nas oficinas;Indicadores;Outras evidências
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Formação insuficiente e/ou inadequada das equipes;Formação insuficiente e pouco prática dos profissionais sobre o processo e estratégias de alfabetização;;;"G: A secretaria foca quase que exclusivamente no professor, é necessário repensar em todas as equipes e seus membros para que a formação atinja todos os educadores e não só os docentes
JT: Percebemos defasagem na oferta de formação para o quadro de apoio.";;
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Profissionais em quantidade insuficiente para atender às demandas das UEs;Pouca valorização/reconhecimento/incentivo ao professor alfabetizador;;Também foi mencionada a importância de garantir que professoras/professores alfabetizadoras/es recebam incentivo financeiro ou pontuação extra para permanecer no ciclo, evitando que sejam designadas/os apenas por vagas remanescentes.;FB: O grupo entendeu que a opção D contempla a realidade atual na questão da carreira, contudo sugere que haja uma valorização mais específica ao professor alfabetizador [Valorização de profissionais];;
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Fragilidade na construção dos vínculos escolares e comunitários;Clima escolar tenso e desafios de coesão da equipe;;"PE: ""Planejamento coletivo e socialização das práticas""";;;"
Questionário de diretores do SAEB 2019:Em uma semana normal de trabalho, quantas horas você costuma gastar, aproximadamente, com as seguintes atividades para esta escola:
Gerenciamento de conflitos (Média de horas)	: 6,9 - atividade mais demandante de todas listadas - https://qedu.org.br/questionarios-saeb/diretores/3550308-sao-paulo?dependencia_id=3"
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Formação insuficiente e/ou inadequada das equipes;Formação insuficiente e pouco prática dos profissionais sobre o processo e estratégias de alfabetização;Insuficiência dos espaços de compartilhamento de práticas bem sucedidas em alfabetização;Troca e socialização de experiências: o compartilhamento de práticas bem-sucedidas fortalece o repertório das/os professoras/professores e ajuda na resolução de desafios comuns. ;;;"Jornal Unesp (2025) mostra que 37,9% das crianças da rede municipal não são alfabetizadas na idade certa e destaca a falta de professores, barreiras sociais e a necessidade de professores que saibam alfabetizar, apontando para um déficit de formação continuada e especialistas para suprir as demandas, o que é reiterado por professores e gestores entrevistados. https://jornal.unesp.br/2025/02/03/criancas-enfrentam-dificuldades-para-alfabetizacao-pos-pandemia-em-sp/
O curso Alfabetiza Juntos SP – 1ª Edição/2025 é destinado para professores municipais e estaduais que atuam nos ciclos de alfabetização. Este curso propõe reflexões críticas sobre o papel do docente alfabetizador, abordando práticas pedagógicas, intervenções e monitoramento da aprendizagem. O curso se desenvolverá na interface entre a gestão educacional e as práticas pedagógicas, buscando garantir o aprimoramento do desempenho dos estudantes no processo de alfabetização."
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Início tardio do processo de letramento das crianças;Desalinhamento sobre o foco no brincar na educação infantil e nos primeiros anos do ensino fundamental;;Relatório: o brincar e o uso dos espaços escolares são considerados elementos fundamentais para o desenvolvimento na alfabetização. A valorização do brincar não apenas na Educação Infantil, mas tanto nas equipes escolares (professores e quadro de apoio) como nas famílias, é um tema importante para a formação. (Questão foi apontada na pergunta de formação);;;"Questionário: ""Retomar processo de letramento nas EMEIs, prática lúdica e social da escrita desde cedo."" (DRE-JT)
""Alfabetização deve começar na creche."" (DRE-PE)
""Fortalecer ações promotoras da alfabetização inicial na EMEI."" (DRE-SM)"
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Desafios de integração entre materiais, práticas pedagógicas e avaliações;Desalinhamento sobre o uso de materiais e recursos pedagógicos para uso pelos professores;;;Aspecto de materiais pedagógicos / Gestão pedagógica (Centro Lemann);"Percentual de estudantes do 2º ano abaixo do básico em português na Prova SP
2019: 8,07% 
2022: 14,10% 
2023: 13,23% 
2024: 5,79% 

Percentual de estudantes do 2º ano abaixo do básico em matemática na Prova SP
2019: 32,05 % 
2022: 34,06% 
2023: 41,24% 
2024: 20,07% ";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Desafios de integração entre materiais, práticas pedagógicas e avaliações;Frágil apoio ou ausência de incentivo da gestão escolar e da DRE/SME na construção, acompanhamento e avaliação do projeto da escola e de alfabetização;;;"Dimensão: Gestão para melhoria dos indicadores de qualidade e equidade - Componente: Visitas técnicas 
DRE Santo Amaro: Há visitas de supervisor regularmente, porém não necessariamente produzem material sobre desenvolvimento profissional do gestor, quando este ocorre o material produzido na visita não é utilizado/revisitado para planejamento das ações da DRE; outros setores não fazem visitas regulares por falta de RH; qualificação do trabalho do supervisor;
DRE São Miguel: As escolas recebem as visitas técnicas especialmente pela supervisão escolar e DIPED mensalmente com foco nas questões pedagógicas e monitoramento de resultados, entretanto ações mais personalizadas acontecem em situações mais pontuais.

Dimensão: Gestão para melhoria dos indicadores - Componente: Planos de Ação Escolar 
DRE Butantã: O grupo avalia que há diretrizes que orientam as metas e ações da escola, porém não há monitoramento sistemático bem como análises dos impactos e suporte às escolas; 
DRE Campo Limpo: Há questões no monitoramento de buscas de dados que nos remete a letra B, porém, diversas questões de aprendizagem com a letra C, como a regularidade do acompanhamento das metas e as intervenções pedagógicas. As diretrizes para definição das metas existem, mas as unidades possuem dificuldades em atendê-las. Uso de dados ainda é falho.
DRE Itaquera: O plano em construção nas UEs. Ainda não reverbera (passa por ajustes), para adequar às realidades das escolas, para que possam promover aprendizagem com diversidade e inclusão.
DRE PJ: O que falta, de fato, é um compromisso efetivo das práticas públicas com os princípios da diversidade e inclusão, observando e considerando as especificidades de cada território. O território deve ser o ponto de partida para pensar as metas e o plano de ação de cada UE
 DRE São Miguel: As metas são claras e monitoradas porém não levam em consideração as especificidades de cada Unidade Escolar.";"Quantidade de formadores nas DREs
Número de supervisores:
2024: 466
2025: 470
";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Baixa maturidade nos programas de recuperação e recomposição das aprendizagens;Barreiras de acesso e permanência nos programas;;;Observamos que a implementação mais precisa é ampliação e melhora na qualidade. A secretaria precisa de maior investimento na recomposição e recuperação das aprendizagens, de investimento formativo para os PAP e professores regentes precisam de atualização;"Frequência dos estudantes no PAP


Nº de professores PAP 2º ano:
2025: 313

Número de PAP 2º ano em JEIF: 
2025: 219 

Número de professores PAP 2º ano efetivos:
2025: 312 

58,47% possuem pós graduação (2025)
Fonte: Perfil do Servidor - DIE";
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Início tardio do processo de letramento das crianças;Pouco acesso a um ambiente letrado fora da escola;;;;"Taxa de analfabetismo no estado de São Paulo segundo o IBGE:
2024:  2,3% 
Percentual de estudantes do 2º ano abaixo do básico em português na Prova SP
2019: 8,07% 
2022: 14,10% 
2023: 13,23% 
2024: 5,79% 

Percentual de estudantes do 2º ano abaixo do básico em matemática na Prova SP
2019: 32,05 % 
2022: 34,06% 
2023: 41,24% 
2024: 20,07% 
Fonte: Divisão de Avaliação/ UPGE

 Índice de crianças alfabetizadas
2023: 37,9%
2024: 48,25%
Fonte: INEP

Proficiência  de estudantes do EJA nas Sondagens de 2025: 
Item: Hipótese de Escrita:
1º Bimestre
Alfabética: 35%
4º Bimestre
Alfabética: 54%

Item: Proficiência de Leitura
1º Bimestre: 
Leitura com fluência: 20,4%
2º Bimestre:
Leitura com fluência: 21%
Fonte: Plano COPED, 2025";"Estudo: ""é fundamental que no cotidiano escolar em turmas
de alfabetização, os alunos se apropriem do sistema de escrita. Para
tanto, é importante que o professor realize atividades com palavras (...) o sucesso de uma alfabetização realizada a distância, sem as intervenções necessárias, é quase uma “missão
impossível”. Soma-se a isso as condições da maioria dos lares
brasileiros, nos quais não há um espaço de estudo minimamente
organizado. Não vamos aos extremos, vamos pensar em uma média.
Há uma mesa na cozinha, nem sempre com boa iluminação, onde
a televisão está sempre ligada, há internet, porém com pacote de
dados limitado, o celular é pequeno e com a tela quebrada, há mais
de um estudante na família, os pais saem o dia todo para trabalhar
ou procurar emprego"" (ZANETTE et al. 2021)"
Alfabetização;Grande número de crianças que não são alfabetizadas na idade adequada;Profissionais em quantidade insuficiente para atender às demandas das UEs;Déficit no quadro de profissionais do NAAPA;;"PJ: Para ser mais atuante, precisa ampliar o quadro
JT: Aumento do quadro, pois o volume de trabalho não é coerente com o contingente. Há um reconhecimento que é impossível prestar o nível de serviço necessário aos alunos com a equipe atual
CL: Impacto é forte, potente, poderia ser melhor se tivessem um grupo maior";;"Professor de Acompanhamento e Apoio à Inclusão (PAAI):
2024: 131
2025:144
Número de psicólogos:
2024:59
2025: 59
Número de psicopedagogos:
2024:59
2025: 59
Fonte: Perfil do servidor - EOL/DIE";
