"DataInicial";"DataFinal";"Cd_Exercicio";"Cd_AnoExecucao";"Administracao";"Cd_Orgao";"Sigla_Orgao";"Ds_Orgao";"Cd_Unidade";"Ds_Unidade";"Cd_Funcao";"Ds_Funcao";"Cd_SubFuncao";"Ds_SubFuncao";"Cd_Programa";"Ds_Programa";"PA";"PAPA";"ProjetoAtividade";"Ds_Projeto_Atividade";"ProjAtiv_Descricao";"Cd_Despesa";"Ds_Despesa";"Categoria_Despesa";"Ds_Categoria";"Grupo_Despesa";"Ds_Grupo";"Cd_Modalidade";"Ds_Modalidade";"Cd_Elemento";"Cd_Fonte";"Ds_Fonte";"COD_EX_FONT_REC";"TXT_EX_FONT_REC";"COD_DSTN_REC";"TXT_DSTN_REC";"COD_VINC_REC_PMSP";"TXT_VINC_PMSP";"COD_TIP_CRED_ORCM";"TXT_TIP_CRED_ORCM";"COD_RDZD_FONT_REC";"TXT_FONT_REC_RDZD";"Cd_Nro_Emenda_Dotacao";"Vl_Orcado_Ano";"Vl_Suplementado";"Vl_Reduzido";"Vl_SuplementadoLiquido";"Vl_SuplementadoEmTramitacao";"Vl_ReduzidoEmTramitacao";"Vl_Orcado_Atualizado";"Vl_Congelado";"Vl_Descongelado";"Vl_CongeladoLiquido";"Disponivel";"Vl_ReservadoLiquido";"Vl_EmpenhadoLiquido";"Vl_Liquidado";"Vl_Pago";"Saldo_Dotacao";"DataExtracao"
"2010-01-01";"2010-12-31";"2010";"2010";"Direta";"16";"SME";"Secretaria Municipal de Educação";"10";"Gabinete do Secretário";"06";"Segurança Pública";"181";"Policiamento";"1170";"Ampliação da proteção ao cidadão";"Atividades";"Atividades";"8020";"Ações Integradas de Segurança Pública - Convênio SSP SP";"8020 - Ações Integradas de Segurança Pública - Convênio SSP SP";"33903900";"Outros Serviços de Terceiros - Pessoa Jurídica";"3";"Despesas Correntes";"3";"OUTRAS DESPESAS CORRENTES";"90";"Aplicações Diretas";"39";"00";"Tesouro Municipal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1000";"0,00";"0,00";"0,00";"0,00";"0,00";"1000,00";"1000,00";"0,00";"1000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2026/09/04 13:25:08"
"2010-01-01";"2010-12-31";"2010";"2010";"Direta";"16";"SME";"Secretaria Municipal de Educação";"10";"Gabinete do Secretário";"12";"Educação";"122";"Administração Geral";"1124";"Acesso à educação e qualidade do ensino - Educação integrada";"Projetos";"Projetos";"1106";"E2885 - Construção De Ceu No Bairro Jardim Panamericano";"1106 - E2885 - Construção De Ceu No Bairro Jardim Panamericano";"44905100";"Obras e Instalações";"4";"Despesas de Capital";"4";"INVESTIMENTOS";"90";"Aplicações Diretas";"51";"00";"Tesouro Municipal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1000";"0,00";"0,00";"0,00";"0,00";"0,00";"1000,00";"1000,00";"0,00";"1000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2026/09/04 13:25:08"
"2010-01-01";"2010-12-31";"2010";"2010";"Direta";"16";"SME";"Secretaria Municipal de Educação";"10";"Gabinete do Secretário";"12";"Educação";"122";"Administração Geral";"1124";"Acesso à educação e qualidade do ensino - Educação integrada";"Projetos";"Projetos";"1848";"Reforma e Ampliação de Unidades Educacionais Integradas";"1848 - Reforma e Ampliação de Unidades Educacionais Integradas";"44905100";"Obras e Instalações";"4";"Despesas de Capital";"4";"INVESTIMENTOS";"90";"Aplicações Diretas";"51";"00";"Tesouro Municipal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"10000000";"0,00";"5372467,00";"-5372467,00";"0,00";"0,00";"4627533,00";"0,00";"0,00";"0,00";"4627533,00";"4627532,28";"4627532,28";"4627051,81";"4627051,81";"0,72";"2026/09/04 13:25:08"
"2010-01-01";"2010-12-31";"2010";"2010";"Direta";"16";"SME";"Secretaria Municipal de Educação";"10";"Gabinete do Secretário";"12";"Educação";"122";"Administração Geral";"1124";"Acesso à educação e qualidade do ensino - Educação integrada";"Projetos";"Projetos";"1849";"Construção de Unidades Educacionais Integradas";"1849 - Construção de Unidades Educacionais Integradas";"44905100";"Obras e Instalações";"4";"Despesas de Capital";"4";"INVESTIMENTOS";"90";"Aplicações Diretas";"51";"00";"Tesouro Municipal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"8130000";"6367777,47";"4161437,00";"2206340,47";"0,00";"0,00";"10336340,47";"0,00";"0,00";"0,00";"10336340,47";"10336340,40";"10336340,40";"8786758,18";"8786758,18";"0,07";"2026/09/04 13:25:08"
"2010-01-01";"2010-12-31";"2010";"2010";"Direta";"16";"SME";"Secretaria Municipal de Educação";"10";"Gabinete do Secretário";"12";"Educação";"122";"Administração Geral";"1124";"Acesso à educação e qualidade do ensino - Educação integrada";"Projetos";"Projetos";"1849";"Construção de Unidades Educacionais Integradas";"1849 - Construção de Unidades Educacionais Integradas";"44906100";"Aquisição de Imóveis";"4";"Despesas de Capital";"4";"INVESTIMENTOS";"90";"Aplicações Diretas";"61";"00";"Tesouro Municipal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"5000000";"0,00";"5000000,00";"-5000000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2026/09/04 13:25:08"
"2010-01-01";"2010-12-31";"2010";"2010";"Direta";"16";"SME";"Secretaria Municipal de Educação";"10";"Gabinete do Secretário";"12";"Educação";"122";"Administração Geral";"1124";"Acesso à educação e qualidade do ensino - Educação integrada";"Projetos";"Projetos";"1849";"Construção de Unidades Educacionais Integradas";"1849 - Construção de Unidades Educacionais Integradas";"44909200";"Despesas de Exercícios Anteriores";"4";"Despesas de Capital";"4";"INVESTIMENTOS";"90";"Aplicações Diretas";"92";"00";"Tesouro Municipal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0";"216946,70";"0,00";"216946,70";"0,00";"0,00";"216946,70";"0,00";"0,00";"0,00";"216946,70";"216946,70";"216946,70";"216946,70";"216946,70";"0,00";"2026/09/04 13:25:08"
"2010-01-01";"2010-12-31";"2010";"2010";"Direta";"16";"SME";"Secretaria Municipal de Educação";"10";"Gabinete do Secretário";"12";"Educação";"122";"Administração Geral";"1124";"Acesso à educação e qualidade do ensino - Educação integrada";"Projetos";"Projetos";"1964";"E47 - Implantação De Centro Unificado Educacional (Ceu) No Bairro Da Vila Ema – Zona Leste.";"1964 - E47 - Implantação De Centro Unificado Educacional (Ceu) No Bairro Da Vila Ema – Zona Leste.";"44905100";"Obras e Instalações";"4";"Despesas de Capital";"4";"INVESTIMENTOS";"90";"Aplicações Diretas";"51";"00";"Tesouro Municipal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"20000";"0,00";"0,00";"0,00";"0,00";"0,00";"20000,00";"20000,00";"0,00";"20000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2026/09/04 13:25:08"
"2010-01-01";"2010-12-31";"2010";"2010";"Direta";"16";"SME";"Secretaria Municipal de Educação";"10";"Gabinete do Secretário";"12";"Educação";"122";"Administração Geral";"1124";"Acesso à educação e qualidade do ensino - Educação integrada";"Projetos";"Projetos";"1971";"E59 - Reforma De Centro Unificado Educacional (Ceu) Teotônio Vilela No Bairro De Sapobemba – Zona Leste.

";"1971 - E59 - Reforma De Centro Unificado Educacional (Ceu) Teotônio Vilela No Bairro De Sapobemba – Zona Leste.

";"44905100";"Obras e Instalações";"4";"Despesas de Capital";"4";"INVESTIMENTOS";"90";"Aplicações Diretas";"51";"00";"Tesouro Municipal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1000";"0,00";"0,00";"0,00";"0,00";"0,00";"1000,00";"1000,00";"0,00";"1000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2026/09/04 13:25:08"
"2010-01-01";"2010-12-31";"2010";"2010";"Direta";"16";"SME";"Secretaria Municipal de Educação";"10";"Gabinete do Secretário";"12";"Educação";"122";"Administração Geral";"1124";"Acesso à educação e qualidade do ensino - Educação integrada";"Projetos";"Projetos";"1996";"E3123 - Implantação Da Praça De Exercícios Do Idoso Com Equipamentos De Ginástica Para 3ª Idade Com 3 Quiosques E Pista De Bocha No Ceu Sapopemba";"1996 - E3123 - Implantação Da Praça De Exercícios Do Idoso Com Equipamentos De Ginástica Para 3ª Idade Com 3 Quiosques E Pista De Bocha No Ceu Sapopemba";"44905100";"Obras e Instalações";"4";"Despesas de Capital";"4";"INVESTIMENTOS";"90";"Aplicações Diretas";"51";"00";"Tesouro Municipal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"50000";"0,00";"0,00";"0,00";"0,00";"0,00";"50000,00";"50000,00";"50000,00";"0,00";"50000,00";"0,00";"0,00";"0,00";"0,00";"50000,00";"2026/09/04 13:25:08"
"2010-01-01";"2010-12-31";"2010";"2010";"Direta";"16";"SME";"Secretaria Municipal de Educação";"10";"Gabinete do Secretário";"12";"Educação";"122";"Administração Geral";"1124";"Acesso à educação e qualidade do ensino - Educação integrada";"Atividades";"Atividades";"2345";"E1262 - Elaboração, Acompanhamento E Monitoramento Do Processo De Construção Do Plano Municipal De Educação Da Cidade De São Paulo.";"2345 - E1262 - Elaboração, Acompanhamento E Monitoramento Do Processo De Construção Do Plano Municipal De Educação Da Cidade De São Paulo.";"33903900";"Outros Serviços de Terceiros - Pessoa Jurídica";"3";"Despesas Correntes";"3";"OUTRAS DESPESAS CORRENTES";"90";"Aplicações Diretas";"39";"00";"Tesouro Municipal";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"200000";"0,00";"0,00";"0,00";"0,00";"0,00";"200000,00";"200000,00";"0,00";"200000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2026/09/04 13:25:08"
